ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ,,,,
Table,25,25,25,0,0,0,-25.43,0,15.39,,,,
Table,25,25,25,0,0,0,-20.2,0,24.46,,,,
Table,25,25,25,0,0,0,-10.8,0,25.46,,,,
Table,25,25,25,0,0,0,0.91,0,25.46,,,,
Table,25,25,25,0,0,0,10.57,0,27.49,,,,
Table,25,25,25,0,0,0,18.7,0,23.66,,,,
Table,25,25,25,0,0,0,24.27,0,6.09,,,,
Table,25,25,25,0,0,0,24.27,0,19.66,,,,
Table,25,25,25,0,0,0,26.59,0,-7.17,,,,
Table,25,25,25,0,0,0,25.99,0,-17.47,,,,
Table,25,25,25,0,0,0,19.7,0,-21.15,,,,
Table,25,25,25,0,0,0,3.2,0,-26.55,,,,
Table,25,25,25,0,0,0,5.7,0,-10.24,,,,
Table,25,25,25,0,0,0,10.87,0,-4.71,,,,
Table,25,25,25,0,0,0,-5.34,0,-7.12,,,,
Table,25,25,25,0,0,0,4.9,0,3.36,,,,
Table,25,25,25,0,0,0,-1.41,0,3.36,,,,
Chair,50,50,50,0,90,0,-26.53,0,15.43,,,,
Chair,50,50,50,0,270,0,-24.34,0,15.43,,,,
Chair,50,50,50,0,0,0,-25.3,0,14.3,,,,
Chair,50,50,50,0,180,0,-25.32,0,16.56,,,,
Chair,50,50,50,0,90,0,-21.3,0,24.5,,,,
Chair,50,50,50,0,270,0,-19.11,0,24.5,,,,
Chair,50,50,50,0,0,0,-20.07,0,23.37,,,,
Chair,50,50,50,0,180,0,-20.09,0,25.63,,,,
Chair,50,50,50,0,90,0,-11.9,0,25.5,,,,
Chair,50,50,50,0,270,0,-9.71,0,25.5,,,,
Chair,50,50,50,0,0,0,-10.67,0,24.37,,,,
Chair,50,50,50,0,180,0,-10.69,0,26.63,,,,
Chair,50,50,50,0,90,0,-0.19,0,25.5,,,,
Chair,50,50,50,0,270,0,2,0,25.5,,,,
Chair,50,50,50,0,0,0,1.04,0,24.37,,,,
Chair,50,50,50,0,180,0,1.02,0,26.63,,,,
Chair,50,50,50,0,90,0,9.47,0,27.53,,,,
Chair,50,50,50,0,270,0,11.66,0,27.53,,,,
Chair,50,50,50,0,0,0,10.7,0,26.4,,,,
Chair,50,50,50,0,180,0,10.68,0,28.66,,,,
Chair,50,50,50,0,90,0,17.6,0,23.7,,,,
Chair,50,50,50,0,270,0,19.79,0,23.7,,,,
Chair,50,50,50,0,0,0,18.83,0,22.57,,,,
Chair,50,50,50,0,180,0,18.81,0,24.83,,,,
Chair,50,50,50,0,90,0,23.17,0,6.13,,,,
Chair,50,50,50,0,270,0,25.36,0,6.13,,,,
Chair,50,50,50,0,0,0,24.4,0,5,,,,
Chair,50,50,50,0,180,0,24.38,0,7.26,,,,
Chair,50,50,50,0,90,0,23.17,0,19.7,,,,
Chair,50,50,50,0,270,0,25.36,0,19.7,,,,
Chair,50,50,50,0,0,0,24.4,0,18.57,,,,
Chair,50,50,50,0,180,0,24.38,0,20.83,,,,
Chair,50,50,50,0,90,0,25.49,0,-7.13,,,,
Chair,50,50,50,0,270,0,27.68,0,-7.13,,,,
Chair,50,50,50,0,0,0,26.72,0,-8.26,,,,
Chair,50,50,50,0,180,0,26.7,0,-6,,,,
Chair,50,50,50,0,90,0,24.89,0,-17.43,,,,
Chair,50,50,50,0,270,0,27.08,0,-17.43,,,,
Chair,50,50,50,0,0,0,26.12,0,-18.56,,,,
Chair,50,50,50,0,180,0,26.1,0,-16.3,,,,
Chair,50,50,50,0,90,0,18.6,0,-21.11,,,,
Chair,50,50,50,0,270,0,20.79,0,-21.11,,,,
Chair,50,50,50,0,0,0,19.83,0,-22.24,,,,
Chair,50,50,50,0,180,0,19.81,0,-19.98,,,,
Chair,50,50,50,0,90,0,2.1,0,-26.51,,,,
Chair,50,50,50,0,270,0,4.29,0,-26.51,,,,
Chair,50,50,50,0,0,0,3.33,0,-27.64,,,,
Chair,50,50,50,0,180,0,3.31,0,-25.38,,,,
