ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ,,,,
Chair,50,50,50,0,0,0,-25.46,0,17.38,,,,
Chair,50,50,50,0,0,0,-19.7,0,23.72,,,,
Chair,50,50,50,0,90,0,-26.67,0,18.47,,,,
Chair,50,50,50,0,180,0,-25.43,0,19.65,,,,
Chair,50,50,50,0,270,0,-24.27,0,18.48,,,,
Chair,50,50,50,0,90,0,-27.4,0,9.39,,,,
Chair,50,50,50,0,270,0,-18.51,0,24.82,,,,
Chair,50,50,50,0,180,0,-19.67,0,25.99,,,,
Chair,50,50,50,0,90,0,-20.91,0,24.81,,,,
Chair,50,50,50,0,180,0,-26.16,0,10.57,,,,
Chair,50,50,50,0,0,0,-26.19,0,8.3,,,,
Chair,50,50,50,0,270,0,-25,0,9.4,,,,
Chair,50,50,50,0,90,0,-27.44,0,-3.68,,,,
Chair,50,50,50,0,180,0,-26.2,0,-2.5,,,,
Chair,50,50,50,0,0,0,-26.23,0,-4.77,,,,
Chair,50,50,50,0,270,0,-25.04,0,-3.67,,,,
Chair,50,50,50,0,90,0,-27.4,0,-12.61,,,,
Chair,50,50,50,0,180,0,-26.16,0,-11.43,,,,
Chair,50,50,50,0,0,0,-26.19,0,-13.7,,,,
Chair,50,50,50,0,270,0,-25,0,-12.6,,,,
Chair,50,50,50,0,90,0,-15.2,0,-26.7,,,,
Chair,50,50,50,0,180,0,-13.96,0,-25.52,,,,
Chair,50,50,50,0,0,0,-13.99,0,-27.79,,,,
Chair,50,50,50,0,270,0,-12.8,0,-26.69,,,,
Chair,50,50,50,0,90,0,5.19,0,-26.49,,,,
Chair,50,50,50,0,180,0,6.43,0,-25.31,,,,
Chair,50,50,50,0,0,0,6.4,0,-27.58,,,,
Chair,50,50,50,0,270,0,7.59,0,-26.48,,,,
Chair,50,50,50,0,90,0,-3.51,0,-27.41,,,,
Chair,50,50,50,0,180,0,-2.27,0,-26.23,,,,
Chair,50,50,50,0,0,0,-2.3,0,-28.5,,,,
Chair,50,50,50,0,270,0,-1.11,0,-27.4,,,,
Chair,50,50,50,0,90,0,20.56,0,-21.78,,,,
Chair,50,50,50,0,180,0,21.8,0,-20.6,,,,
Chair,50,50,50,0,0,0,21.77,0,-22.87,,,,
Chair,50,50,50,0,270,0,22.96,0,-21.77,,,,
Chair,50,50,50,0,90,0,16.39,0,-26.91,,,,
Chair,50,50,50,0,180,0,17.63,0,-25.73,,,,
Chair,50,50,50,0,0,0,17.6,0,-28,,,,
Chair,50,50,50,0,270,0,18.79,0,-26.9,,,,
Table2,25,25,25,0,0,0,4,0,12.6,,,,
Table2,25,25,25,0,0,0,10.1,0,2.6,,,,
Table2,25,25,25,0,0,0,-10.1,0,2.5,,,,
Table2,25,25,25,0,0,0,-7.5,0,-7.4,,,,
Table,25,25,25,0,0,0,-26.19,0,9.48,,,,
Table,25,25,25,0,0,0,-19.7,0,24.9,,,,
Table,25,25,25,0,0,0,-25.46,0,18.56,,,,
Table,25,25,25,0,0,0,-26.23,0,-3.59,,,,
Table,25,25,25,0,0,0,-26.19,0,-12.52,,,,
Table,25,25,25,0,0,0,-13.99,0,-26.61,,,,
Table,25,25,25,0,0,0,6.4,0,-26.4,,,,
Table,25,25,25,0,0,0,-2.3,0,-27.32,,,,
Table,25,25,25,0,0,0,21.77,0,-21.69,,,,
Table,25,25,25,0,0,0,17.6,0,-26.82,,,,
Trigger,0.5,3,3.5,0,0,0,4.25,1.5,20.55,Stage2.csv,4.47,1.14,-20.56
Wall,0.5,3,3.5,0,0,0,-0.45,1.45,20.585,WallCake_Tx,,,
Floor,60,0.1,48.8,0,0,0,0,0,-5.6,WallSponge_Tx,,,
Floor,30,0.1,3.5,0,0,0,-15,0,20.55,WallCake_Tx,,,
Floor,60,0.1,7.7,0,0,0,0,0,26.15,WallCake_Tx,,,
Floor,26,0.1,3.5,0,0,0,17,0,20.55,WallCake_Tx,,,
Floor,5,0.05,5,90,0,0,1.8,-2.55,18.835,WallCake_Tx,,,
Floor,5,0.05,5,90,90,0,-0.7,-2.55,21.335,WallCake_Tx,,,
Floor,5,0.05,5,270,0,0,1.8,-2.55,22.345,WallCake_Tx,,,
Wall,40,0.1,20,90,90,0,-29.5,10,0,WallCake_Tx,,,
Wall,40,0.1,20,90,180,0,-0.2,10,30,WallCake_Tx,,,
Wall,40,0.1,20,90,270,0,30,10,-0.3,WallCake_Tx,,,
Wall,40,0.1,20,90,0,0,-0.2,10,-30,WallCake_Tx,,,
Wall,0.5,10,20,0,90,0,0.25,4.7,-18.36,WallCake_Tx,,,
Wall,0.5,10,22.5,0,0,0,17.43,4.7,0.07,WallCake_Tx,,,
Wall,0.5,10,13,0,90,0,3.71,4.7,18.45,WallCake_Tx,,,
Wall,0.5,10,13,0,0,0,-21.17,5.1,9.77,WallCake_Tx,,,
Wall,0.5,10,9,0,0,0,-21.22,5.1,-12.94,WallCake_Tx,,,
Wall,0.5,10,5,0,0,0,-21.173,5.1,-2.73,WallCake_Tx,,,
Wall,0.5,10,22.5,0,0,0,-16.97,4.7,0.02,WallCake_Tx,,,
Wall,0.5,10,5,0,90,0,-7.29,4.7,18.45,WallCake_Tx,,,
Partition,0.5,10,8.4,0,0,0,6.548152,5.096328,26.05087,WallCake_Tx,,,
Partition,0.5,10,6,0,90,0,24.36615,5.100328,-17.89603,WallCake_Tx,,,
Partition,0.5,10,7.5,0,180,0,8.968152,5.096328,-26.31913,WallCake_Tx,,,
Partition,0.5,10,7.5,0,180,0,-6.031848,5.096328,-26.31913,WallCake_Tx,,,
Partition,0.5,10,8.6,0,210.8,0,-17.76185,5.096328,-26.38913,WallCake_Tx,,,
Partition,0.5,10,9,0,90,0,-25.42185,5.096328,-0.4791346,WallCake_Tx,,,
Partition,0.5,10,8.4,0,0,0,-15.10385,5.100328,26.19087,WallCake_Tx,,,
Partition,0.5,10,9,0,90,0,25.92815,5.096328,12.85087,WallCake_Tx,,,
Partition,0.5,10,8.6,0,252.8,0,-25.15185,5.100328,-18.47273,WallCake_Tx,,,
Wall,0.5,10,9,0,68,0,17.1,5.1,-19.6,WallCake_Tx,,,
Wall,0.5,10,10,0,90,0,4.22,5.1,-22.82,WallCake_Tx,,,
Wall,0.5,10,5,0,90,0,-13.28,5.1,-22.82,WallCake_Tx,,,
