ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ,
Floor,60,0.1,60,0,0,0,0,0,0,WallSponge_Tx
Floor,40,0.1,20,89.97202,90.0496,0,-29.5,10,0,WallCake_Tx
Floor,40,0.1,20,90,180,0,-0.2,10,30,WallCake_Tx
Floor,40,0.1,20,90,270,0,30,10,-0.3,WallCake_Tx
Floor,40,0.1,20,90,0,0,-0.2,10,-30,WallCake_Tx
BoxCollision,0.5,10,5,0,90,0,-27,5,9.95,WallCake_Tx
BoxCollision,0.5,10,5,0,101.5954,0,-22,5,9.55,WallCake_Tx
BoxCollision,0.5,10,5,0,116.9601,0,-17.26,5,7.892,WallCake_Tx
BoxCollision,0.5,10,5.229,0,134.2635,0,-13.257,4.9959,5.024,WallCake_Tx
BoxCollision,0.5,10,5,0,82.43021,0,-22.2,5,-14.55,WallCake_Tx
BoxCollision,0.5,10,5,0,70.97242,0,-17.407,5,-13.417,WallCake_Tx
BoxCollision,0.5,10,3.83615,0,41.39624,0,-13.669,5,-11.092,WallCake_Tx
BoxCollision,0.5,10,5,0,23.51391,0,-11.445,5,-7.4263,WallCake_Tx
BoxCollision,0.5,10,5,0.05339846,163.4944,0.9979312,-10.8408,4.987139,0.8804619,WallCake_Tx
BoxCollision,0.5,10,3.64205,0,187.0206,0,-10.244,5,-3.3957,WallCake_Tx
BoxCollision,0.5,10,5,0,90,0,-27,5,-14.86,WallCake_Tx
